0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z
-0.106056,0.911828,0.243508,-0.108392,0.988,0.240283,-0.122474,1.333516,0.174091,-0.117103,1.449722,0.261275,0.057223,1.328598,0.154476,0.100011,1.104921,0.215229,0.196899,0.8763995,0.3057835,0.196899,0.8763995,0.3057835,-0.301058,1.314597,0.190597,-0.337268,1.083348,0.21828,-0.370232,0.857559,0.2738845,-0.370232,0.857559,0.2738845,0.017262,0.665413,0.325937,0.014132,0.218167,0.244474,0.042734,0.117752,0.191716,0.051292,0.056661,0.330706,-0.206748,0.577883,0.315425,-0.21122,0.317448,0.261955,-0.215765,0.114063,0.19945,-0.196078,0.05229,0.337001,-0.120198,1.285305,0.175097,0.243609,0.815652,0.280043,0.243609,0.815652,0.280043,-0.389178,0.794824,0.234269,-0.389178,0.794824,0.234269
-0.106475,0.912361,0.241836,-0.109042,0.988534,0.238846,-0.12514,1.333962,0.174904,-0.116913,1.449869,0.262263,0.053911,1.32871,0.149861,0.099251,1.105445,0.21028,0.197439,0.8779334999999999,0.3042235,0.197439,0.8779334999999999,0.3042235,-0.303109,1.315807,0.196284,-0.337951,1.084106,0.221865,-0.3702245,0.858306,0.275416,-0.3702245,0.858306,0.275416,0.019733,0.667352,0.32327,0.014359,0.218892,0.244255,0.042946,0.118326,0.191778,0.051299,0.056828,0.330602,-0.203563,0.578298,0.31748,-0.209735,0.317171,0.262829,-0.216661,0.114294,0.198909,-0.196283,0.052586,0.336388,-0.122918,1.2857444999999998,0.175665,0.243625,0.816478,0.279228,0.243625,0.816478,0.279228,-0.389954,0.796099,0.235352,-0.389954,0.796099,0.235352
-0.107162,0.912889,0.239777,-0.109952,0.989071,0.237226,-0.128141,1.334463,0.17666,-0.116751,1.449913,0.26427,0.049769,1.328981,0.145296,0.098082,1.105954,0.204274,0.197736,0.8796269999999999,0.3011295,0.197736,0.8796269999999999,0.3011295,-0.305407,1.31706,0.203509,-0.33862,1.084891,0.226926,-0.3696955,0.8589755,0.2785715,-0.3696955,0.8589755,0.2785715,0.021314,0.669669,0.320836,0.014479,0.219377,0.244031,0.043935,0.118929,0.191809,0.051447,0.057034,0.330504,-0.200154,0.578755,0.319737,-0.208447,0.3167,0.264031,-0.217268,0.114415,0.19849,-0.196341,0.052841,0.335948,-0.126108,1.286233,0.1771075,0.243336,0.817455,0.276843,0.243336,0.817455,0.276843,-0.390311,0.797209,0.238273,-0.390311,0.797209,0.238273
-0.108067,0.913334,0.237297,-0.111064,0.989525,0.235333,-0.131164,1.33541,0.179125,-0.116545,1.449991,0.267393,0.04518,1.32997,0.140884,0.096517,1.106903,0.197091,0.197827,0.8812310000000001,0.2963845,0.197827,0.8812310000000001,0.2963845,-0.307518,1.318194,0.21231,-0.338766,1.085596,0.23411,-0.368475,0.859352,0.2832545,-0.368475,0.859352,0.2832545,0.022507,0.672051,0.317936,0.01457,0.219856,0.243443,0.04545,0.119606,0.191664,0.051663,0.057257,0.330221,-0.196617,0.57924,0.322351,-0.20705,0.315918,0.26555,-0.217137,0.114373,0.197943,-0.19627,0.053129,0.335557,-0.1293675,1.287168,0.179093,0.242826,0.818536,0.272321,0.242826,0.818536,0.272321,-0.390037,0.797868,0.243019,-0.390037,0.797868,0.243019
-0.108998,0.913743,0.234361,-0.112246,0.98994,0.233163,-0.13431,1.336685,0.182503,-0.116266,1.4501,0.27164,0.040178,1.33157,0.137246,0.094185,1.108104,0.189204,0.1976109999999999,0.882698,0.2894305,0.1976109999999999,0.882698,0.2894305,-0.309353,1.319298,0.222655,-0.33941,1.086354,0.242338,-0.36631,0.859143,0.289437,-0.36631,0.859143,0.289437,0.023629,0.67483,0.314907,0.014543,0.220578,0.243162,0.046367,0.120459,0.191702,0.051774,0.057487,0.330011,-0.192906,0.579781,0.325607,-0.205748,0.314773,0.267724,-0.216729,0.11415,0.197563,-0.196118,0.053286,0.335384,-0.1327289999999999,1.28844,0.1818535,0.241925,0.819514,0.265373,0.241925,0.819514,0.265373,-0.388758,0.797716,0.249601,-0.388758,0.797716,0.249601
-0.110136,0.914116,0.231678,-0.113584,0.990309,0.230906,-0.137627,1.338195,0.186952,-0.115889,1.450254,0.276974,0.034696,1.333676,0.134315,0.09115,1.10965,0.180995,0.197059,0.883895,0.280252,0.197059,0.883895,0.280252,-0.31088,1.320345,0.234342,-0.340795,1.087142,0.250938,-0.3628345,0.8584955,0.2973395,-0.3628345,0.8584955,0.2973395,0.024739,0.677757,0.312378,0.014614,0.221273,0.243612,0.045632,0.121183,0.191608,0.051761,0.057839,0.329715,-0.188595,0.580637,0.329819,-0.204383,0.313597,0.270692,-0.216182,0.114171,0.197326,-0.195911,0.053353,0.335218,-0.1362035,1.2899615,0.1855339999999999,0.24064,0.820448,0.255558,0.24064,0.820448,0.255558,-0.387088,0.797427,0.258015,-0.387088,0.797427,0.258015
-0.111632,0.914872,0.228068,-0.11512,0.991068,0.228055,-0.141066,1.339745,0.192423,-0.115257,1.450271,0.283262,0.028814,1.335955,0.132197,0.088995,1.111618,0.172255,0.1961494999999999,0.8849104999999999,0.268766,0.1961494999999999,0.8849104999999999,0.268766,-0.31198,1.321269,0.247304,-0.340848,1.087745,0.260969,-0.358602,0.8582215,0.3070874999999999,-0.358602,0.8582215,0.3070874999999999,0.025034,0.681734,0.310308,0.014771,0.22232,0.244701,0.04473,0.122448,0.191667,0.051945,0.058379,0.329387,-0.183492,0.582451,0.334972,-0.20286,0.312578,0.274761,-0.21537,0.114712,0.197395,-0.195837,0.053222,0.335095,-0.1397515,1.2915425,0.190134,0.239143,0.821466,0.243058,0.239143,0.821466,0.243058,-0.384694,0.797292,0.268736,-0.384694,0.797292,0.268736
-0.11317,0.915376,0.224459,-0.116616,0.99157,0.225145,-0.144387,1.341225,0.199004,-0.114026,1.449945,0.290611,0.022543,1.338095,0.130585,0.087292,1.113735,0.162575,0.1948445,0.885108,0.255102,0.1948445,0.885108,0.255102,-0.312543,1.32204,0.261355,-0.339592,1.088203,0.273268,-0.3534935,0.8579835,0.3186545,-0.3534935,0.8579835,0.3186545,0.025,0.685959,0.309088,0.015184,0.223206,0.246406,0.04204,0.123626,0.191205,0.052672,0.059274,0.328572,-0.177467,0.584695,0.341675,-0.200955,0.311316,0.280217,-0.214926,0.115491,0.198057,-0.19579,0.052724,0.335236,-0.143291,1.2930825,0.195593,0.236845,0.821608,0.227929,0.236845,0.821608,0.227929,-0.381354,0.796878,0.281857,-0.381354,0.796878,0.281857
-0.114655,0.915265,0.221047,-0.118085,0.991452,0.222399,-0.147096,1.341695,0.205778,-0.112256,1.44846,0.298089,0.016151,1.33939,0.129093,0.084353,1.114975,0.152329,0.1928575,0.883816,0.239159,0.1928575,0.883816,0.239159,-0.31211,1.321844,0.275971,-0.338468,1.087826,0.285693,-0.347095,0.8573044999999999,0.332132,-0.347095,0.8573044999999999,0.332132,0.02499,0.69002,0.308454,0.016456,0.22378,0.247908,0.040086,0.124746,0.190302,0.055418,0.060336,0.327197,-0.170532,0.587089,0.350222,-0.198422,0.309584,0.287375,-0.214459,0.116339,0.199672,-0.195261,0.051727,0.335983,-0.146436,1.2936285,0.2013455,0.233489,0.820273,0.210074,0.233489,0.820273,0.210074,-0.376785,0.795759,0.297567,-0.376785,0.795759,0.297567
-0.115758,0.913928,0.218435,-0.11934,0.990099,0.220196,-0.148772,1.340523,0.212317,-0.109825,1.445413,0.305134,0.010172,1.339085,0.127804,0.078192,1.113907,0.142692,0.1902385,0.8812905,0.2210039999999999,0.1902385,0.8812905,0.2210039999999999,-0.310442,1.320031,0.290438,-0.337425,1.086009,0.298141,-0.3385955,0.855762,0.347699,-0.3385955,0.855762,0.347699,0.025095,0.693021,0.308737,0.01894,0.223249,0.248337,0.038676,0.125238,0.1876,0.062887,0.06159,0.323565,-0.163434,0.588878,0.360283,-0.195538,0.307116,0.295701,-0.213929,0.116944,0.20195,-0.194435,0.050416,0.337294,-0.1487945,1.29253,0.2071069999999999,0.229261,0.81764,0.190011,0.229261,0.81764,0.190011,-0.370155,0.793442,0.316324,-0.370155,0.793442,0.316324
