0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z
0.15272,0.907765,0.118839,0.156638,0.983816,0.114499,0.189133,1.330953,0.063691,0.161291,1.446925,0.146812,0.36193,1.31808,0.109926,0.360516,1.089626,0.167894,0.3590475,0.845171,0.2496435,0.3590475,0.845171,0.2496435,0.0186,1.320049,0.001983,-0.030047,1.089746,0.014132,-0.0761125,0.8654515,0.0621725,-0.0761125,0.8654515,0.0621725,0.224971,0.648243,0.218829,0.214646,0.209467,0.118762,0.241135,0.108732,0.065513,0.249376,0.052296,0.206477,0.01548,0.584452,0.165445,0.011181,0.321641,0.121071,0.009669,0.116234,0.065409,-0.002573,0.052663,0.203005,0.187925,1.282693,0.063645,0.408656,0.781735,0.242607,0.408656,0.781735,0.242607,-0.082676,0.801347,0.020801,-0.082676,0.801347,0.020801
0.152813,0.907705,0.117803,0.156834,0.983755,0.113545,0.190437,1.330837,0.06368,0.162502,1.446711,0.146906,0.363009,1.317416,0.11043,0.359959,1.088629,0.167006,0.3605905,0.844488,0.2501,0.3605905,0.844488,0.2501,0.020098,1.320429,0.001157,-0.028936,1.090227,0.013658,-0.075588,0.8660745000000001,0.063591,-0.075588,0.8660745000000001,0.063591,0.224207,0.648031,0.21816,0.214431,0.20942,0.118449,0.241435,0.108577,0.065667,0.249373,0.052271,0.206701,0.015156,0.584592,0.163808,0.010892,0.321945,0.120208,0.009539,0.116319,0.065353,-0.002601,0.052704,0.202938,0.189082,1.282581,0.063478,0.410488,0.781319,0.24271,0.410488,0.781319,0.24271,-0.082387,0.801584,0.022862,-0.082387,0.801584,0.022862
0.152982,0.907678,0.116923,0.157104,0.983724,0.112693,0.191761,1.330739,0.063588,0.163813,1.446494,0.146975,0.364093,1.316816,0.110804,0.359887,1.087807,0.166397,0.3621305,0.8440305,0.2518995,0.3621305,0.8440305,0.2518995,0.021485,1.32088,0.000623,-0.028057,1.090807,0.013489,-0.0752645,0.8667355000000001,0.065413,-0.0752645,0.8667355000000001,0.065413,0.223663,0.647828,0.21748,0.214342,0.209476,0.118258,0.241498,0.108498,0.065813,0.24937,0.052255,0.206875,0.014812,0.584748,0.162314,0.010603,0.32232,0.119329,0.009406,0.11651,0.065166,-0.002771,0.052754,0.202683,0.1902364999999999,1.2824895,0.063272,0.412232,0.781025,0.244494,0.412232,0.781025,0.244494,-0.082373,0.801775,0.025492,-0.082373,0.801775,0.025492
0.153251,0.90776,0.116154,0.15749,0.9838,0.111922,0.193086,1.33063,0.063288,0.165445,1.446319,0.146869,0.365182,1.316329,0.111141,0.360413,1.087216,0.166256,0.3634365,0.843888,0.2545895,0.3634365,0.843888,0.2545895,0.02288,1.321432,0.000188,-0.027201,1.091497,0.013414,-0.075124,0.867802,0.067661,-0.075124,0.867802,0.067661,0.22347,0.64771,0.216888,0.214542,0.209622,0.118155,0.241189,0.108552,0.065626,0.249417,0.052273,0.206654,0.014545,0.585076,0.161194,0.010382,0.3227,0.118755,0.009275,0.116751,0.065119,-0.002815,0.052784,0.202545,0.19144,1.2823845,0.06293,0.413673,0.780956,0.247482,0.413673,0.780956,0.247482,-0.082483,0.802466,0.028404,-0.082483,0.802466,0.028404
0.153685,0.90791,0.115415,0.15805,0.983946,0.111253,0.194663,1.330517,0.06266,0.167687,1.446226,0.14643,0.366452,1.315699,0.11152,0.361451,1.086616,0.166743,0.3644675,0.8440395,0.257901,0.3644675,0.8440395,0.257901,0.024459,1.32211,-0.000277,-0.02635,1.09236,0.013399,-0.0751415,0.869137,0.0700235,-0.0751415,0.869137,0.0700235,0.223383,0.647688,0.216523,0.214695,0.209793,0.118537,0.240765,0.108602,0.065952,0.249343,0.052154,0.206892,0.014316,0.585618,0.160549,0.010442,0.322986,0.118554,0.009183,0.116978,0.065152,-0.00282,0.052776,0.202477,0.1928665,1.282276,0.0623544999999999,0.414653,0.781005,0.251363,0.414653,0.781005,0.251363,-0.082761,0.803427,0.031446,-0.082761,0.803427,0.031446
0.154247,0.908131,0.114642,0.158756,0.984174,0.11076,0.196732,1.330414,0.061826,0.170942,1.446339,0.145671,0.368,1.315016,0.112119,0.363244,1.086117,0.168119,0.365145,0.8441875,0.26177,0.365145,0.8441875,0.26177,0.026437,1.322969,-0.000799,-0.025355,1.093464,0.013291,-0.075291,0.870825,0.0723115,-0.075291,0.870825,0.0723115,0.223302,0.647565,0.21592,0.214808,0.210038,0.118389,0.240645,0.108713,0.065946,0.249348,0.052144,0.206829,0.014444,0.586475,0.160653,0.01059,0.323188,0.118987,0.009185,0.117218,0.065441,-0.002719,0.052721,0.202635,0.194674,1.282183,0.061671,0.415109,0.780915,0.255861,0.415109,0.780915,0.255861,-0.083344,0.8047,0.03454,-0.083344,0.8047,0.03454
0.154772,0.9086,0.113611,0.159483,0.984663,0.110436,0.199266,1.330423,0.06124,0.174914,1.446854,0.144814,0.369937,1.314196,0.113036,0.365988,1.085679,0.170634,0.365419,0.8442175000000001,0.266067,0.365419,0.8442175000000001,0.266067,0.029051,1.324175,-0.001584,-0.024111,1.095009,0.012913,-0.075499,0.8730235,0.074316,-0.075499,0.8730235,0.074316,0.223034,0.647343,0.214849,0.21471,0.210472,0.117615,0.240877,0.108979,0.065663,0.249419,0.052225,0.206482,0.015223,0.588078,0.161954,0.011167,0.32333,0.120461,0.00924,0.117588,0.066063,-0.002587,0.052537,0.203002,0.196846,1.282209,0.061285,0.41501,0.780605,0.260698,0.41501,0.780605,0.260698,-0.084104,0.806537,0.037308,-0.084104,0.806537,0.037308
0.155215,0.909591,0.11202,0.160157,0.985682,0.110085,0.202187,1.330628,0.061313,0.178794,1.447802,0.144119,0.372235,1.313639,0.114541,0.369918,1.085658,0.174313,0.3652495,0.8445055,0.270348,0.3652495,0.8445055,0.270348,0.032547,1.32578,-0.002828,-0.022387,1.097068,0.012219,-0.0757839999999999,0.8758325,0.075873,-0.0757839999999999,0.8758325,0.075873,0.222097,0.647512,0.213901,0.214559,0.211113,0.117402,0.240876,0.109515,0.065732,0.24936,0.052313,0.206373,0.016263,0.591016,0.164625,0.012205,0.323767,0.122923,0.009128,0.118574,0.066541,-0.002472,0.052572,0.203044,0.1993875,1.282435,0.061577,0.414459,0.780559,0.265449,0.414459,0.780559,0.265449,-0.085033,0.809031,0.039594,-0.085033,0.809031,0.039594
0.155782,0.910918,0.109816,0.160821,0.987025,0.109308,0.205509,1.331019,0.062299,0.181956,1.4489,0.144049,0.374809,1.313445,0.117601,0.374807,1.085832,0.178804,0.364701,0.845093,0.2745999999999999,0.364701,0.845093,0.2745999999999999,0.037106,1.327478,-0.004469,-0.019768,1.09929,0.011304,-0.0762255,0.879048,0.076805,-0.0762255,0.879048,0.076805,0.22035,0.648167,0.213026,0.214413,0.212063,0.11735,0.240955,0.110412,0.0659,0.249158,0.052512,0.206272,0.017173,0.594907,0.167904,0.012623,0.324536,0.126071,0.007979,0.120061,0.06724,-0.002449,0.052581,0.203113,0.2024619999999999,1.2828425,0.0627185,0.413415,0.780735,0.270173,0.413415,0.780735,0.270173,-0.086141,0.811949,0.04126,-0.086141,0.811949,0.04126
0.156391,0.9121,0.107205,0.16142,0.988207,0.107805,0.20912,1.331732,0.064255,0.184081,1.449813,0.145272,0.377315,1.313694,0.12283,0.379895,1.086025,0.18377,0.3638285,0.8457815,0.278709,0.3638285,0.8457815,0.278709,0.042518,1.329159,-0.006378,-0.016158,1.101447,0.00968,-0.0767955,0.882125,0.07687,-0.0767955,0.882125,0.07687,0.216974,0.648902,0.211732,0.214367,0.213109,0.117283,0.241064,0.111352,0.066122,0.249087,0.052643,0.206167,0.017675,0.599089,0.171432,0.01221,0.325263,0.129496,0.007138,0.121616,0.067892,-0.002542,0.052638,0.203066,0.2059915,1.28356,0.064576,0.412107,0.781092,0.274348,0.412107,0.781092,0.274348,-0.087233,0.814703,0.042093,-0.087233,0.814703,0.042093
