0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z
-0.017655,0.909776,0.125807,-0.016177,0.986013,0.123899,-0.000657,1.332029,0.061122,-0.016633,1.444702,0.151583,0.178267,1.319713,0.08467,0.20126,1.092305,0.142206,0.1805915,0.8524425,0.2363515,0.1805915,0.8524425,0.2363515,-0.176632,1.320363,0.024359,-0.200106,1.090861,0.072645,-0.2360574999999999,0.8621559999999999,0.144164,-0.2360574999999999,0.8621559999999999,0.144164,0.076598,0.653643,0.227602,0.100525,0.214062,0.138244,0.138536,0.11414,0.090752,0.126569,0.055484,0.230538,-0.132864,0.581983,0.177013,-0.127218,0.321815,0.13697,-0.131434,0.114748,0.088,-0.122508,0.053365,0.22684,-0.0005735,1.2837740000000002,0.062513,0.234037,0.79197,0.240974,0.234037,0.79197,0.240974,-0.251138,0.794573,0.111464,-0.251138,0.794573,0.111464
-0.018466,0.90991,0.125846,-0.017204,0.986151,0.123907,-0.00147,1.33141,0.059826,-0.016947,1.444097,0.150356,0.177068,1.3191,0.082859,0.200318,1.091949,0.141304,0.180272,0.8523050000000001,0.236896,0.180272,0.8523050000000001,0.236896,-0.178023,1.320412,0.024482,-0.200722,1.090763,0.07244,-0.236885,0.8620125,0.144107,-0.236885,0.8620125,0.144107,0.07631,0.654189,0.227602,0.100321,0.214358,0.13844,0.138377,0.11449,0.090872,0.126659,0.055429,0.230508,-0.133206,0.581851,0.177669,-0.127367,0.321572,0.137314,-0.131308,0.114585,0.087985,-0.122509,0.053348,0.226897,-0.0017644999999999,1.2831565,0.06125,0.233287,0.791428,0.241139,0.233287,0.791428,0.241139,-0.252001,0.794415,0.111454,-0.252001,0.794415,0.111454
-0.019393,0.909851,0.126061,-0.018221,0.986089,0.123962,-0.002961,1.33098,0.058269,-0.017608,1.443637,0.148976,0.175664,1.318668,0.080768,0.19923,1.091761,0.140023,0.1798374999999999,0.8526235,0.2371855,0.1798374999999999,0.8526235,0.2371855,-0.179764,1.320284,0.024654,-0.20153,1.090529,0.072531,-0.237937,0.861836,0.144088,-0.237937,0.861836,0.144088,0.076132,0.654409,0.227617,0.100265,0.214372,0.138767,0.138325,0.11454,0.091127,0.126563,0.05533,0.230697,-0.133619,0.581595,0.178355,-0.127324,0.321273,0.137557,-0.131268,0.114371,0.087871,-0.122554,0.053363,0.226889,-0.0032615,1.2827324999999998,0.059852,0.232824,0.791718,0.241379,0.232824,0.791718,0.241379,-0.253129,0.794255,0.111438,-0.253129,0.794255,0.111438
-0.020521,0.909836,0.12638,-0.019364,0.986066,0.124027,-0.0046,1.330571,0.056653,-0.018487,1.443305,0.147384,0.174075,1.318325,0.0784,0.197955,1.091634,0.138356,0.1792905,0.853182,0.2372745,0.1792905,0.853182,0.2372745,-0.181802,1.319825,0.024923,-0.202595,1.090024,0.073015,-0.2392329999999999,0.861589,0.1442135,-0.2392329999999999,0.861589,0.1442135,0.076334,0.654629,0.227589,0.100224,0.214376,0.13888,0.138289,0.114581,0.091165,0.126444,0.055348,0.230718,-0.134172,0.581407,0.179097,-0.127698,0.321139,0.13795,-0.131247,0.114308,0.087937,-0.122653,0.053296,0.22696,-0.0049375,1.282328,0.0583724999999999,0.232264,0.792249,0.241233,0.232264,0.792249,0.241233,-0.254731,0.794044,0.111631,-0.254731,0.794044,0.111631
-0.021653,0.90989,0.126427,-0.020592,0.986117,0.123945,-0.006304,1.330171,0.055204,-0.019548,1.443165,0.145707,0.172316,1.318169,0.075816,0.196561,1.091648,0.136266,0.1788215,0.8531425,0.2370545,0.1788215,0.8531425,0.2370545,-0.184035,1.319474,0.025779,-0.203896,1.089582,0.073829,-0.240756,0.861385,0.144565,-0.240756,0.861385,0.144565,0.07673,0.655062,0.227265,0.100106,0.2145,0.138858,0.138192,0.114723,0.091124,0.126463,0.055386,0.230643,-0.134797,0.581257,0.179938,-0.127958,0.32093,0.138373,-0.13129,0.114199,0.087936,-0.122628,0.053295,0.227003,-0.0067474999999999,1.2819310000000002,0.0569874999999999,0.229337,0.79006,0.238906,0.229337,0.79006,0.238906,-0.256519,0.793999,0.111781,-0.256519,0.793999,0.111781
-0.022825,0.909938,0.126324,-0.021907,0.986164,0.123739,-0.008699,1.330001,0.053842,-0.021132,1.443102,0.144326,0.170118,1.31821,0.073112,0.195054,1.09181,0.133731,0.1782805,0.8530735,0.236307,0.1782805,0.8530735,0.236307,-0.186798,1.319304,0.027224,-0.205597,1.089252,0.074932,-0.242481,0.8610694999999999,0.1452195,-0.242481,0.8610694999999999,0.1452195,0.077209,0.655499,0.226447,0.100035,0.214789,0.138742,0.138059,0.114928,0.091133,0.126529,0.055444,0.230605,-0.135272,0.581067,0.180924,-0.128224,0.320659,0.138868,-0.131282,0.114051,0.087912,-0.122639,0.053284,0.22704,-0.0090539999999999,1.281762,0.0556575,0.227474,0.788932,0.23697,0.227474,0.788932,0.23697,-0.258469,0.79379,0.112325,-0.258469,0.79379,0.112325
-0.024144,0.909894,0.126171,-0.023313,0.986111,0.123308,-0.011833,1.330043,0.052724,-0.022843,1.442853,0.143754,0.16738,1.318499,0.070247,0.193492,1.092194,0.130725,0.1778005,0.8533120000000001,0.234814,0.1778005,0.8533120000000001,0.234814,-0.190146,1.31919,0.0291,-0.207897,1.088967,0.076383,-0.244112,0.8602655,0.1460555,-0.244112,0.8602655,0.1460555,0.077684,0.655811,0.225385,0.099875,0.21499,0.138654,0.137897,0.114997,0.091321,0.126639,0.055347,0.230745,-0.135577,0.580833,0.182127,-0.128449,0.320326,0.139445,-0.131302,0.113871,0.087859,-0.122684,0.053269,0.227061,-0.01193,1.2817975,0.054414,0.226552,0.78883,0.235039,0.226552,0.78883,0.235039,-0.260564,0.793065,0.11323,-0.260564,0.793065,0.11323
-0.02543,0.909784,0.125895,-0.024699,0.985983,0.122546,-0.015663,1.330122,0.051936,-0.024746,1.442201,0.144075,0.163952,1.318925,0.067168,0.191853,1.092714,0.127198,0.177443,0.8535785,0.232504,0.177443,0.8535785,0.232504,-0.194127,1.319147,0.03133,-0.210868,1.088753,0.078146,-0.245805,0.8592394999999999,0.1473255,-0.245805,0.8592394999999999,0.1473255,0.078486,0.656267,0.224437,0.099818,0.214986,0.138523,0.137826,0.114952,0.091267,0.126674,0.055324,0.230709,-0.135595,0.580518,0.183486,-0.128499,0.319878,0.140028,-0.131355,0.113612,0.087693,-0.122653,0.053298,0.227014,-0.015482,1.2818665,0.0533155,0.225959,0.788919,0.23252,0.225959,0.788919,0.23252,-0.262746,0.792143,0.114536,-0.262746,0.792143,0.114536
-0.026527,0.909631,0.125472,-0.026004,0.985799,0.121468,-0.019492,1.330449,0.05133,-0.027205,1.441299,0.145066,0.160171,1.319794,0.063733,0.190096,1.09367,0.123117,0.177242,0.8537815,0.229456,0.177242,0.8537815,0.229456,-0.198474,1.319133,0.034291,-0.214642,1.088504,0.08014,-0.247525,0.8579575,0.1490199999999999,-0.247525,0.8579575,0.1490199999999999,0.079761,0.656903,0.223338,0.099761,0.215005,0.138194,0.137833,0.114943,0.09105,0.126628,0.055434,0.230539,-0.135364,0.580069,0.185002,-0.128189,0.319249,0.140617,-0.131333,0.113201,0.087447,-0.122673,0.053323,0.226959,-0.019282,1.2821825,0.0522425,0.22562,0.789019,0.229122,0.22562,0.789019,0.229122,-0.264934,0.790922,0.11635,-0.264934,0.790922,0.11635
-0.027594,0.909447,0.124802,-0.027357,0.985575,0.120068,-0.023781,1.330887,0.051067,-0.030297,1.440439,0.146407,0.155845,1.320913,0.05982,0.187316,1.094694,0.118027,0.177068,0.853757,0.2254864999999999,0.177068,0.853757,0.2254864999999999,-0.203297,1.319188,0.038173,-0.219061,1.088255,0.082614,-0.2491065,0.856479,0.151019,-0.2491065,0.856479,0.151019,0.081478,0.657707,0.221967,0.099767,0.215122,0.138061,0.137733,0.114939,0.091089,0.126635,0.055466,0.230602,-0.134821,0.579593,0.186827,-0.126785,0.318506,0.141358,-0.130949,0.11267,0.087443,-0.122497,0.053271,0.227172,-0.023584,1.282614,0.0514354999999999,0.225389,0.788953,0.225041,0.225389,0.788953,0.225041,-0.267118,0.789588,0.118381,-0.267118,0.789588,0.118381
