0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z
-0.170952,0.91765,0.186869,-0.171747,0.993921,0.187161,-0.168024,1.346178,0.137922,-0.162997,1.457233,0.231599,0.0114,1.334888,0.136786,0.052101,1.105264,0.170991,0.042018,0.8696195,0.2865545,0.042018,0.8696195,0.2865545,-0.347951,1.336248,0.125083,-0.390325,1.104627,0.135563,-0.386015,0.8933869999999999,0.269643,-0.386015,0.8933869999999999,0.269643,-0.065206,0.672044,0.291864,-0.062121,0.219395,0.19735,-0.02766,0.121833,0.142773,-0.040407,0.058746,0.280546,-0.269836,0.594249,0.285369,-0.272791,0.318329,0.230811,-0.272209,0.119118,0.155928,-0.263977,0.052956,0.292597,-0.1684345,1.297939,0.136106,0.081931,0.799413,0.283012,0.081931,0.799413,0.283012,-0.398286,0.819272,0.254797,-0.398286,0.819272,0.254797
-0.173959,0.917393,0.185321,-0.175041,0.99366,0.185745,-0.170594,1.34739,0.142163,-0.165539,1.456824,0.237727,0.009341,1.335774,0.141088,0.051754,1.105119,0.164607,0.0473569999999999,0.87158,0.28413,0.0473569999999999,0.87158,0.28413,-0.349984,1.337777,0.127717,-0.394536,1.10635,0.130902,-0.3851335,0.903464,0.2793565,-0.3851335,0.903464,0.2793565,-0.068038,0.675707,0.297556,-0.062538,0.218368,0.201673,-0.028677,0.122462,0.14388,-0.040781,0.058049,0.281097,-0.266824,0.596809,0.294608,-0.271796,0.316624,0.237927,-0.271824,0.119568,0.157543,-0.263288,0.052221,0.293614,-0.170654,1.299188,0.139504,0.085105,0.800328,0.278393,0.085105,0.800328,0.278393,-0.391926,0.827817,0.269589,-0.391926,0.827817,0.269589
-0.177514,0.91566,0.183999,-0.178773,0.991924,0.184341,-0.172167,1.345852,0.145875,-0.168216,1.45397,0.242976,0.007244,1.334908,0.1443,0.051781,1.1039,0.158622,0.0543825,0.8720005,0.2809435,0.0543825,0.8720005,0.2809435,-0.351761,1.336754,0.130852,-0.398929,1.105834,0.128694,-0.382073,0.912567,0.2900304999999999,-0.382073,0.912567,0.2900304999999999,-0.072009,0.679334,0.305649,-0.062602,0.216356,0.208748,-0.029945,0.122636,0.146824,-0.041447,0.056628,0.283332,-0.26255,0.598682,0.304771,-0.27077,0.314172,0.245672,-0.271362,0.119816,0.158964,-0.262737,0.051257,0.294423,-0.172509,1.2976744999999998,0.1428165,0.090899,0.800356,0.272681,0.090899,0.800356,0.272681,-0.384857,0.836077,0.287676,-0.384857,0.836077,0.287676
-0.181319,0.911556,0.183022,-0.182582,0.987821,0.183016,-0.174556,1.342503,0.149217,-0.171044,1.44902,0.248089,0.004615,1.332001,0.14633,0.052259,1.101273,0.153288,0.0627775,0.870662,0.2771395,0.0627775,0.870662,0.2771395,-0.354359,1.333437,0.134681,-0.403737,1.103057,0.128359,-0.3790785,0.9223105,0.302472,-0.3790785,0.9223105,0.302472,-0.077379,0.681923,0.31549,-0.061359,0.213107,0.216705,-0.030792,0.122407,0.149446,-0.041913,0.055392,0.285495,-0.257408,0.599076,0.315668,-0.269099,0.310336,0.25389,-0.270865,0.119228,0.160255,-0.262416,0.050064,0.295417,-0.1750054999999999,1.2943685,0.1455675,0.099481,0.79937,0.266898,0.099481,0.79937,0.266898,-0.377138,0.845945,0.30782,-0.377138,0.845945,0.30782
-0.184814,0.904874,0.182719,-0.18589,0.981138,0.181915,-0.177994,1.337041,0.152342,-0.174032,1.442047,0.2528,0.00133,1.326512,0.14739,0.054497,1.096889,0.147541,0.071818,0.8678680000000001,0.2735855,0.071818,0.8678680000000001,0.2735855,-0.357845,1.327897,0.13912,-0.409028,1.098019,0.129642,-0.3766305,0.933375,0.3165485,-0.3766305,0.933375,0.3165485,-0.084256,0.683196,0.32689,-0.057093,0.208994,0.226166,-0.031537,0.122294,0.151906,-0.042075,0.054353,0.287541,-0.253009,0.597399,0.326631,-0.266922,0.304981,0.261402,-0.270493,0.117715,0.160351,-0.262463,0.049012,0.295774,-0.1783469999999999,1.288982,0.147793,0.110804,0.797783,0.263442,0.110804,0.797783,0.263442,-0.368958,0.858371,0.329948,-0.368958,0.858371,0.329948
-0.187617,0.896635,0.182848,-0.188366,0.972884,0.180986,-0.181392,1.330101,0.155248,-0.176934,1.434042,0.256786,-0.001978,1.319504,0.147736,0.059416,1.092072,0.140043,0.0804445,0.8653645,0.2703605,0.0804445,0.8653645,0.2703605,-0.361339,1.3209,0.143707,-0.41411,1.091395,0.133884,-0.373414,0.94565,0.3317394999999999,-0.373414,0.94565,0.3317394999999999,-0.090596,0.683663,0.338729,-0.053754,0.205594,0.23502,-0.032078,0.123231,0.154825,-0.041845,0.05372,0.28972,-0.250645,0.594592,0.337532,-0.264742,0.299011,0.26862,-0.269775,0.115673,0.160663,-0.262201,0.047827,0.296543,-0.1817105,1.282135,0.1497995,0.121923,0.796507,0.26183,0.121923,0.796507,0.26183,-0.361706,0.873192,0.353576,-0.361706,0.873192,0.353576
-0.190166,0.889094,0.184009,-0.190506,0.965304,0.180882,-0.183987,1.323744,0.158162,-0.179221,1.426952,0.260432,-0.004673,1.313107,0.147829,0.065259,1.088748,0.129768,0.0875345,0.865391,0.2674565,0.0875345,0.865391,0.2674565,-0.364118,1.314529,0.147959,-0.417844,1.085129,0.141456,-0.3677924999999999,0.960704,0.34752,-0.3677924999999999,0.960704,0.34752,-0.094375,0.684869,0.350928,-0.053248,0.204382,0.243891,-0.032206,0.12621,0.159446,-0.041551,0.053145,0.29248,-0.251416,0.592069,0.34758,-0.263863,0.294085,0.275064,-0.269225,0.114243,0.161394,-0.261947,0.046593,0.297388,-0.184402,1.2758685,0.151976,0.130992,0.797431,0.262204,0.130992,0.797431,0.262204,-0.354016,0.891772,0.377895,-0.354016,0.891772,0.377895
-0.191366,0.885497,0.186204,-0.191785,0.961666,0.182178,-0.185244,1.320284,0.161174,-0.180394,1.423114,0.26382,-0.006315,1.309673,0.148024,0.071659,1.089335,0.117619,0.0924095,0.8702384999999999,0.2645305,0.0924095,0.8702384999999999,0.2645305,-0.365682,1.311178,0.151471,-0.421684,1.082234,0.150111,-0.3627289999999999,0.9760645,0.362657,-0.3627289999999999,0.9760645,0.362657,-0.095005,0.688593,0.361638,-0.053832,0.206737,0.252551,-0.032389,0.131573,0.165516,-0.041516,0.053145,0.295475,-0.255927,0.590419,0.353742,-0.265738,0.291454,0.278597,-0.269389,0.113576,0.161811,-0.26202,0.045703,0.297689,-0.1859259999999999,1.272463,0.154606,0.136468,0.802472,0.263413,0.136468,0.802472,0.263413,-0.34838,0.910727,0.399929,-0.34838,0.910727,0.399929
-0.191235,0.887978,0.190071,-0.192051,0.964108,0.18544,-0.185275,1.321801,0.164418,-0.180244,1.424729,0.266957,-0.006891,1.311266,0.148298,0.077652,1.095286,0.106363,0.094971,0.8812205,0.261973,0.094971,0.8812205,0.261973,-0.365975,1.313006,0.154609,-0.4239,1.084593,0.159689,-0.3580055,0.992335,0.376518,-0.3580055,0.992335,0.376518,-0.093165,0.694535,0.369647,-0.057054,0.212022,0.259275,-0.033784,0.137934,0.171788,-0.041953,0.054192,0.298455,-0.261965,0.590746,0.354434,-0.269956,0.292462,0.278633,-0.270074,0.114097,0.162536,-0.262174,0.045198,0.297867,-0.1862575,1.273977,0.157911,0.138169,0.812942,0.264549,0.138169,0.812942,0.264549,-0.34291,0.929975,0.418319,-0.34291,0.929975,0.418319
-0.188951,0.89602,0.194432,-0.190527,0.972159,0.190165,-0.184307,1.329047,0.1679,-0.178811,1.432549,0.269837,-0.006413,1.318712,0.148758,0.08205,1.106404,0.09725,0.094835,0.8978145,0.2601775,0.094835,0.8978145,0.2601775,-0.365061,1.320549,0.157998,-0.424268,1.09271,0.169731,-0.352603,1.010609,0.3885015,-0.352603,1.010609,0.3885015,-0.090026,0.701891,0.373743,-0.062766,0.219299,0.262433,-0.037178,0.144276,0.176402,-0.043851,0.057535,0.301123,-0.267196,0.59319,0.349254,-0.274675,0.297143,0.275152,-0.271052,0.115828,0.163776,-0.262328,0.045199,0.298161,-0.1854235,1.281177,0.1617635,0.136499,0.828743,0.265461,0.136499,0.828743,0.265461,-0.3359,0.950234,0.432546,-0.3359,0.950234,0.432546
